# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  SWMF  Magnetosphere
# Run name:   Espen_Fredrick_032124_2
# Missing data:  -1.09951e+12
# year mo dy hr mn sc msc Kp K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_00 K_01 K_02 K_03 K_04 K_05 K_06 K_07 K_08 K_09 K_10 K_11 AL AU AE AO 
# [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] 
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.00000E+01  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.88000E+00  5.57200E+01  5.76000E+01  2.69200E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.10000E+01  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.77000E+00  5.85100E+01  6.02800E+01  2.83700E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.20000E+01  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.73000E+00  5.89100E+01  6.06400E+01  2.85900E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.30000E+01  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.91000E+00  5.94700E+01  6.13700E+01  2.87800E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.40000E+01  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -2.06000E+00  5.88700E+01  6.09300E+01  2.84100E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.50000E+01  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.91000E+00  6.18900E+01  6.38000E+01  2.99900E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.60000E+01  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.70000E+00  6.49400E+01  6.66400E+01  3.16200E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.70000E+01  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00 -1.91000E+00  6.45300E+01  6.64400E+01  3.13100E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.80000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -2.45000E+00  5.73400E+01  5.97900E+01  2.74500E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.90000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -2.83000E+00  5.81600E+01  6.09900E+01  2.76700E+01
